start_date,storm_total,prcp_total,snow_day1,snow_day2,snow_day3,snow_day4,snow_day5
1979-11-20,22.1,1.32,21.1,1.0,,,
1979-12-27,16.6,1.2,11.2,5.4,,,
1980-03-26,12.7,1.49,3.1,3.0,4.6,2.0,
1983-04-03,21.4,1.69,6.2,11.5,3.7,,
1985-12-08,18.6,1.24,0.6,14.0,3.0,1.0,
1988-03-30,19.5,0.99,2.5,16.7,0.3,,
1989-02-01,12.9,0.59,0.3,1.4,5.9,3.5,1.8
1990-02-13,14.600000000000001,0.45,5.7,6.9,2.0,,
1990-03-06,17.0,3.84,12.4,4.1,0.5,,
1992-03-08,16.7,1.28,4.0,12.7,,,
1997-10-24,17.5,1.6400000000000001,5.4,12.1,,,
2003-03-18,32.2,4.9,18.0,14.2,,,
2006-12-20,19.9,1.9100000000000001,12.2,7.7,,,
2009-10-28,21.7,1.42,17.5,4.2,,,
2013-04-15,22.4,1.8900000000000001,9.4,7.1,5.9,,
2013-05-01,12.9,1.51,12.8,0.1,,,
2016-01-30,14.9,1.03,0.4,0.8,5.9,7.8,
2016-03-23,13.4,1.44,13.4,,,,
2019-11-25,16.5,1.34,4.9,11.6,,,
2020-04-16,12.3,1.3,12.3,,,,
2020-10-25,14.5,1.11,13.2,1.3,,,
2021-03-13,19.500000000000004,2.32,2.6,16.8,0.1,,
